audio/drummer1/session1/brooklyn,1_funk_80_beat_4-4.wav
audio/drummer1/session1/east_bay,1_funk_80_beat_4-4.wav
audio/drummer1/session1/heavy,1_funk_80_beat_4-4.wav
audio/drummer1/session1/portland,1_funk_80_beat_4-4.wav
audio/drummer1/session1/retro_rock,1_funk_80_beat_4-4.wav
audio/drummer1/session1/socal,1_funk_80_beat_4-4.wav
audio/drummer1/session1/brooklyn,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/east_bay,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/heavy,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/portland,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/retro_rock,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/socal,10_jazz-funk_116_fill_4-4.wav
audio/drummer1/session1/brooklyn,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/east_bay,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/heavy,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/portland,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/retro_rock,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/socal,100_neworleans-secondline_94_beat_4-4.wav
audio/drummer1/session1/brooklyn,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/east_bay,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/heavy,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/portland,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/retro_rock,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/socal,101_dance-disco_120_beat_4-4.wav
audio/drummer1/session1/brooklyn,102_funk_95_beat_4-4.wav
audio/drummer1/session1/east_bay,102_funk_95_beat_4-4.wav
audio/drummer1/session1/heavy,102_funk_95_beat_4-4.wav
audio/drummer1/session1/portland,102_funk_95_beat_4-4.wav
audio/drummer1/session1/retro_rock,102_funk_95_beat_4-4.wav
audio/drummer1/session1/socal,102_funk_95_beat_4-4.wav
audio/drummer1/session1/brooklyn,103_funk_95_fill_4-4.wav
audio/drummer1/session1/east_bay,103_funk_95_fill_4-4.wav
audio/drummer1/session1/heavy,103_funk_95_fill_4-4.wav
audio/drummer1/session1/portland,103_funk_95_fill_4-4.wav
audio/drummer1/session1/retro_rock,103_funk_95_fill_4-4.wav
audio/drummer1/session1/socal,103_funk_95_fill_4-4.wav
audio/drummer1/session1/brooklyn,104_funk_95_fill_4-4.wav
audio/drummer1/session1/east_bay,104_funk_95_fill_4-4.wav
audio/drummer1/session1/heavy,104_funk_95_fill_4-4.wav
audio/drummer1/session1/portland,104_funk_95_fill_4-4.wav
audio/drummer1/session1/retro_rock,104_funk_95_fill_4-4.wav
audio/drummer1/session1/socal,104_funk_95_fill_4-4.wav
audio/drummer1/session1/brooklyn,106_funk_95_fill_4-4.wav
audio/drummer1/session1/east_bay,106_funk_95_fill_4-4.wav
audio/drummer1/session1/heavy,106_funk_95_fill_4-4.wav
audio/drummer1/session1/portland,106_funk_95_fill_4-4.wav
audio/drummer1/session1/retro_rock,106_funk_95_fill_4-4.wav
audio/drummer1/session1/socal,106_funk_95_fill_4-4.wav
